eventURL,title,rankTW,rankLW,name,rounds,avg,totalStrokes,totalAdjustment,totalRounds
t028,BMW Championship,121,126,Chris Baker,53,71.170,"3,454",33.312,49
t028,BMW Championship,122,127,Chase Seiffert,56,71.175,"3,806",37.468,54
t028,BMW Championship,123,123,Marc Leishman,61,71.186,"4,343",- .672,61
t028,BMW Championship,124,128,Stewart Cink,51,71.189,"3,621",9.639,51
t028,BMW Championship,125,129,Bo Hoag,71,71.193,"4,718",51.923,67
t028,BMW Championship,126,130,Matt Wallace,44,71.206,"3,129",4.052,44
t028,BMW Championship,T127,T131,Chesson Hadley,62,71.228,"4,078",53.208,58
t028,BMW Championship,T127,T131,Andrew Landry,63,71.228,"4,453",34.367,63
t028,BMW Championship,129,133,Peter Uihlein,47,71.235,"3,016",47.101,43
t028,BMW Championship,130,134,Wyndham Clark,65,71.243,"4,323",22.808,61
t028,BMW Championship,131,135,Fabián Gómez,59,71.252,"3,870",48.862,55
t028,BMW Championship,132,136,Si Woo Kim,78,71.254,"5,221",51.763,74
t028,BMW Championship,133,137,Ben Martin,38,71.259,"2,532",33.325,36
t028,BMW Championship,134,138,David Hearn,55,71.266,"3,592",42.581,51
t028,BMW Championship,T135,T139,Rafa Cabrera Bello,53,71.285,"3,749",29.098,53
t028,BMW Championship,T135,T139,James Hahn,36,71.285,"2,538",28.272,36
t028,BMW Championship,137,141,Aaron Baddeley,49,71.291,"3,309",41.664,47
t028,BMW Championship,138,142,Keith Mitchell,64,71.298,"4,554",9.084,64
t028,BMW Championship,T139,T143,Brandon Hagy,50,71.300,"3,242",37.785,46
t028,BMW Championship,T139,T143,Rob Oppenheim,65,71.300,"4,317",32.295,61
t028,BMW Championship,141,145,Scott Piercy,66,71.306,"4,673",33.226,66
t028,BMW Championship,142,146,D.J. Trahan,49,71.307,"3,318",33.438,47
t028,BMW Championship,143,147,Josh Teater,43,71.335,"2,882",42.723,41
t028,BMW Championship,144,148,Kyoung-Hoon Lee,76,71.339,"5,087",49.383,72
t028,BMW Championship,145,149,Martin Laird,39,71.344,"2,746",36.426,39
t028,BMW Championship,146,150,Robby Shelton,75,71.358,"5,028",38.412,71
t028,BMW Championship,147,151,Joseph Bramlett,57,71.367,"3,751",31.473,53
t028,BMW Championship,148,152,Nate Lashley,52,71.384,"3,676",35.992,52
